question,premise,choice1,choice2,kind,a1,a2,correct,gap,peak
"Consider the following example: ‘‘‘I coughed.’’’ Choice 1: I inhaled smoke. Choice 2: I lowered my voice. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I coughed.,I inhaled smoke.,I lowered my voice.,cause,-0.4262610673904419,0.5842657089233398,1,1.0105267763137817,0.5842657089233398
"Consider the following example: ‘‘‘I drank a cup of coffee.’’’ Choice 1: My yawning ceased. Choice 2: I nodded off to sleep. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I drank a cup of coffee.,My yawning ceased.,I nodded off to sleep.,effect,-0.011981707997620106,0.03457847982645035,1,0.046560187824070454,0.03457847982645035
"Consider the following example: ‘‘‘I drank from the water fountain.’’’ Choice 1: I was thirsty. Choice 2: I felt nauseous. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I drank from the water fountain.,I was thirsty.,I felt nauseous.,cause,-0.02986386977136135,-0.1807819902896881,1,0.15091812051832676,0.1807819902896881
"Consider the following example: ‘‘‘I got distracted from my conversation with the woman.’’’ Choice 1: Everyone in the room was talking. Choice 2: The woman was telling a funny story. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I got distracted from my conversation with the woman.,Everyone in the room was talking.,The woman was telling a funny story.,cause,-0.08221855014562607,0.14764955639839172,1,0.2298681065440178,0.14764955639839172
"Consider the following example: ‘‘‘I ironed my shirt.’’’ Choice 1: It was clean. Choice 2: It was wrinkled. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I ironed my shirt.,It was clean.,It was wrinkled.,cause,0.3292267918586731,-0.3127342760562897,2,0.6419610679149628,0.3292267918586731
"Consider the following example: ‘‘‘I learned how to play the board game.’’’ Choice 1: My friend explained the rules to me. Choice 2: My friend got the rules wrong. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I learned how to play the board game.,My friend explained the rules to me.,My friend got the rules wrong.,cause,0.12734666466712952,-0.2499828338623047,1,0.3773294985294342,0.2499828338623047
"Consider the following example: ‘‘‘I made a resolution to eat a healthy diet.’’’ Choice 1: I attended a yoga class. Choice 2: I bought fruits and vegetables. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I made a resolution to eat a healthy diet.,I attended a yoga class.,I bought fruits and vegetables.,effect,0.115025594830513,-0.13856545090675354,2,0.25359104573726654,0.13856545090675354
"Consider the following example: ‘‘‘I misplaced my wallet.’’’ Choice 1: I retrieved my phone. Choice 2: I retraced my steps. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I misplaced my wallet.,I retrieved my phone.,I retraced my steps.,effect,0.12889523804187775,-0.10637550055980682,2,0.23527073860168457,0.12889523804187775
"Consider the following example: ‘‘‘I moved to a new city.’’’ Choice 1: I found a better-paying job. Choice 2: My son was born. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I moved to a new city.,I found a better-paying job.,My son was born.,cause,0.16900968551635742,-0.34641164541244507,1,0.5154213309288025,0.34641164541244507
"Consider the following example: ‘‘‘I poured water on my sleeping friend.’’’ Choice 1: My friend awoke. Choice 2: My friend snored. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I poured water on my sleeping friend.,My friend awoke.,My friend snored.,effect,-0.3050859570503235,0.48488473892211914,1,0.7899706959724426,0.48488473892211914
"Consider the following example: ‘‘‘I pushed the pendulum.’’’ Choice 1: It slowed to a stop. Choice 2: It swung back and forth. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I pushed the pendulum.,It slowed to a stop.,It swung back and forth.,effect,-0.1680922955274582,0.16479389369487762,2,0.3328861892223358,0.1680922955274582
"Consider the following example: ‘‘‘I put coins in the washing machine at the laundromat.’’’ Choice 1: The machine powered on. Choice 2: I ran out of laundry detergent. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I put coins in the washing machine at the laundromat.,The machine powered on.,I ran out of laundry detergent.,effect,-0.2929864227771759,0.023419663310050964,1,0.31640608608722687,0.2929864227771759
"Consider the following example: ‘‘‘I put my hands under the running faucet.’’’ Choice 1: The soap rinsed off my hands. Choice 2: The water splashed in my face. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I put my hands under the running faucet.,The soap rinsed off my hands.,The water splashed in my face.,effect,-0.09882000088691711,-0.005616556853055954,1,0.09320344403386116,0.09882000088691711
"Consider the following example: ‘‘‘I put my plate in the sink.’’’ Choice 1: I finished eating. Choice 2: I skipped dinner. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I put my plate in the sink.,I finished eating.,I skipped dinner.,cause,-0.06460899114608765,-0.14094427227973938,1,0.07633528113365173,0.14094427227973938
"Consider the following example: ‘‘‘I put rubber gloves on.’’’ Choice 1: I was preparing to wash my hands. Choice 2: I was preparing to clean the bathroom. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I put rubber gloves on.,I was preparing to wash my hands.,I was preparing to clean the bathroom.,cause,0.029488151893019676,-0.15192489326000214,2,0.1814130451530218,0.15192489326000214
"Consider the following example: ‘‘‘I ran the ice cube under warm water.’’’ Choice 1: The ice cube stuck to my fingers. Choice 2: The ice cube vanished. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I ran the ice cube under warm water.,The ice cube stuck to my fingers.,The ice cube vanished.,effect,-0.09318821132183075,-0.0040941014885902405,2,0.08909410983324051,0.09318821132183075
"Consider the following example: ‘‘‘I received a package in the mail.’’’ Choice 1: The package triggered my curiosity. Choice 2: I took the package to the post office. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I received a package in the mail.,The package triggered my curiosity.,I took the package to the post office.,effect,-0.09140001237392426,-0.12695901095867157,1,0.035558998584747314,0.12695901095867157
"Consider the following example: ‘‘‘I regained composure from my fit of anger.’’’ Choice 1: My heart pounded. Choice 2: I took deep breaths. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I regained composure from my fit of anger.,My heart pounded.,I took deep breaths.,cause,-0.1093902736902237,0.0010033100843429565,2,0.11039358377456665,0.1093902736902237
"Consider the following example: ‘‘‘I rubbed sandpaper on the wood.’’’ Choice 1: The wood became smooth. Choice 2: The wood became sticky. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I rubbed sandpaper on the wood.,The wood became smooth.,The wood became sticky.,effect,-0.27022555470466614,0.5268969535827637,1,0.7971225082874298,0.5268969535827637
"Consider the following example: ‘‘‘I rubbed the soap between my hands.’’’ Choice 1: The soap foamed. Choice 2: My hands went numb. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I rubbed the soap between my hands.,The soap foamed.,My hands went numb.,effect,0.03796513006091118,0.12192955613136292,1,0.08396442607045174,0.12192955613136292
"Consider the following example: ‘‘‘I spit out my chewing gum.’’’ Choice 1: I blew a bubble with the gum. Choice 2: The gum lost its flavor. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I spit out my chewing gum.,I blew a bubble with the gum.,The gum lost its flavor.,cause,0.19930478930473328,0.04159100726246834,2,0.15771378204226494,0.19930478930473328
"Consider the following example: ‘‘‘I stood on one foot.’’’ Choice 1: My balance wavered. Choice 2: I kneeled down. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I stood on one foot.,My balance wavered.,I kneeled down.,effect,-0.3278001546859741,0.2371295988559723,1,0.5649297535419464,0.3278001546859741
"Consider the following example: ‘‘‘I tidied up my house.’’’ Choice 1: I was swamped with work. Choice 2: I was expecting company. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I tidied up my house.,I was swamped with work.,I was expecting company.,cause,-0.1739426553249359,0.14536228775978088,2,0.3193049430847168,0.1739426553249359
"Consider the following example: ‘‘‘I tipped the bottle.’’’ Choice 1: The liquid in the bottle froze. Choice 2: The liquid in the bottle poured out. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I tipped the bottle.,The liquid in the bottle froze.,The liquid in the bottle poured out.,effect,-0.12262137234210968,0.03165392577648163,2,0.1542752981185913,0.12262137234210968
"Consider the following example: ‘‘‘I went to bed.’’’ Choice 1: It was a clear night. Choice 2: It was late. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I went to bed.,It was a clear night.,It was late.,cause,0.1367667019367218,-0.3624979853630066,2,0.4992646872997284,0.3624979853630066
"Consider the following example: ‘‘‘I wrote a thank-you note to my grandmother.’’’ Choice 1: She became forgetful. Choice 2: She sent me a gift. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I wrote a thank-you note to my grandmother.,She became forgetful.,She sent me a gift.,cause,-0.3269403278827667,0.27424952387809753,2,0.6011898517608643,0.3269403278827667
"Consider the following example: ‘‘‘My computer crashed.’’’ Choice 1: I installed new speakers. Choice 2: I lost all my data. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My computer crashed.,I installed new speakers.,I lost all my data.,effect,0.5149304866790771,-0.7553470134735107,2,1.270277500152588,0.7553470134735107
"Consider the following example: ‘‘‘My ears were ringing.’’’ Choice 1: I went to a museum. Choice 2: I went to a concert. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My ears were ringing.,I went to a museum.,I went to a concert.,cause,0.24090030789375305,-0.3999480903148651,2,0.6408483982086182,0.3999480903148651
"Consider the following example: ‘‘‘My feet were blistered.’’’ Choice 1: I went hiking. Choice 2: I went swimming. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My feet were blistered.,I went hiking.,I went swimming.,cause,-0.41880765557289124,0.5427868962287903,1,0.9615945518016815,0.5427868962287903
"Consider the following example: ‘‘‘My friend paid for my ticket.’’’ Choice 1: I sought a refund. Choice 2: I paid her back. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My friend paid for my ticket.,I sought a refund.,I paid her back.,effect,-0.07411909103393555,-0.06313090026378632,2,0.010988190770149231,0.07411909103393555
"Consider the following example: ‘‘‘My grandmother passed away.’’’ Choice 1: My family held a funeral. Choice 2: My family held a reunion. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My grandmother passed away.,My family held a funeral.,My family held a reunion.,effect,-0.4547870457172394,0.7119853496551514,1,1.1667723953723907,0.7119853496551514
"Consider the following example: ‘‘‘My knees buckled on the stairs.’’’ Choice 1: I caught myself on the railing. Choice 2: The railing came loose from the wall. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My knees buckled on the stairs.,I caught myself on the railing.,The railing came loose from the wall.,effect,0.07291670888662338,-0.14989393949508667,1,0.22281064838171005,0.14989393949508667
"Consider the following example: ‘‘‘My stomach growled.’’’ Choice 1: I forgot to eat breakfast. Choice 2: I was full from breakfast. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My stomach growled.,I forgot to eat breakfast.,I was full from breakfast.,cause,-0.2177615761756897,0.4791026711463928,1,0.6968642473220825,0.4791026711463928
"Consider the following example: ‘‘‘My stomach hurt.’’’ Choice 1: I jogged on the treadmill. Choice 2: I ate birthday cake. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My stomach hurt.,I jogged on the treadmill.,I ate birthday cake.,cause,0.22505702078342438,-0.14662222564220428,2,0.37167924642562866,0.22505702078342438
"Consider the following example: ‘‘‘My subscription to the magazine expired.’’’ Choice 1: I discarded the new issue. Choice 2: I stopped receiving new issues. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My subscription to the magazine expired.,I discarded the new issue.,I stopped receiving new issues.,effect,0.10912975668907166,-0.292423278093338,2,0.40155303478240967,0.292423278093338
"Consider the following example: ‘‘‘My view of the movie screen was blocked.’’’ Choice 1: The couple behind me was whispering. Choice 2: A tall person was sitting in front of me. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My view of the movie screen was blocked.,The couple behind me was whispering.,A tall person was sitting in front of me.,cause,0.209014430642128,-0.42195916175842285,2,0.6309735924005508,0.42195916175842285
"Consider the following example: ‘‘‘The administrator cleared her throat.’’’ Choice 1: The meeting was postponed. Choice 2: The meeting commenced. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The administrator cleared her throat.,The meeting was postponed.,The meeting commenced.,effect,-0.08853995054960251,0.1809864044189453,2,0.2695263549685478,0.1809864044189453
"Consider the following example: ‘‘‘The animal species became endangered.’’’ Choice 1: Their habitat was destroyed. Choice 2: Their predators went extinct. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The animal species became endangered.,Their habitat was destroyed.,Their predators went extinct.,cause,-0.24652299284934998,0.33943626284599304,1,0.585959255695343,0.33943626284599304
"Consider the following example: ‘‘‘The archeologist dug up the site.’’’ Choice 1: She excavated ancient artifacts. Choice 2: She read about the site's history. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The archeologist dug up the site.,She excavated ancient artifacts.,She read about the site's history.,effect,-0.18071462213993073,0.5803413391113281,1,0.7610559612512589,0.5803413391113281
"Consider the following example: ‘‘‘The balloon expanded.’’’ Choice 1: I blew into it. Choice 2: I pricked it. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The balloon expanded.,I blew into it.,I pricked it.,cause,0.33229243755340576,-0.18633051216602325,1,0.518622949719429,0.33229243755340576
"Consider the following example: ‘‘‘The bananas ripened.’’’ Choice 1: We squeezed them. Choice 2: We ate them. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The bananas ripened.,We squeezed them.,We ate them.,effect,0.10866793990135193,0.06532738357782364,2,0.04334055632352829,0.10866793990135193
"Consider the following example: ‘‘‘The bartender refused to serve the patron.’’’ Choice 1: The patron was alone. Choice 2: The patron was drunk. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The bartender refused to serve the patron.,The patron was alone.,The patron was drunk.,cause,0.38526278734207153,-0.6738216876983643,2,1.0590844750404358,0.6738216876983643
"Consider the following example: ‘‘‘The benefactor requested to stay anonymous.’’’ Choice 1: He wanted to maintain his privacy. Choice 2: He supported the cause behind his donation. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The benefactor requested to stay anonymous.,He wanted to maintain his privacy.,He supported the cause behind his donation.,cause,0.044505707919597626,0.2856854796409607,1,0.24117977172136307,0.2856854796409607
"Consider the following example: ‘‘‘The boat capsized.’’’ Choice 1: The captain raised the sail. Choice 2: It was caught in a hurricane. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boat capsized.,The captain raised the sail.,It was caught in a hurricane.,cause,0.978191077709198,-0.8988587856292725,2,1.8770498633384705,0.978191077709198
"Consider the following example: ‘‘‘The boaters set off a flare.’’’ Choice 1: Their boat drifted to shore. Choice 2: Their boat was rescued. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The boaters set off a flare.,Their boat drifted to shore.,Their boat was rescued.,effect,-0.15536756813526154,-0.1359684318304062,2,0.019399136304855347,0.15536756813526154
"Consider the following example: ‘‘‘The book was deemed inappropriate for children.’’’ Choice 1: Schools banned it from its libraries. Choice 2: Teachers required students to read it. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The book was deemed inappropriate for children.,Schools banned it from its libraries.,Teachers required students to read it.,effect,-0.43979737162590027,0.5006842613220215,1,0.9404816329479218,0.5006842613220215
"Consider the following example: ‘‘‘The boy climbed the tree.’’’ Choice 1: A cat got stuck in the tree. Choice 2: A bird built a nest in the tree. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy climbed the tree.,A cat got stuck in the tree.,A bird built a nest in the tree.,cause,-0.2320842146873474,0.3383251428604126,1,0.57040935754776,0.3383251428604126
"Consider the following example: ‘‘‘The boy felt homesick.’’’ Choice 1: He went away to camp. Choice 2: He bickered with his sister. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy felt homesick.,He went away to camp.,He bickered with his sister.,cause,-0.2735254466533661,0.22741234302520752,1,0.5009377896785736,0.2735254466533661
"Consider the following example: ‘‘‘The boy had trouble buttoning his shirt.’’’ Choice 1: He refused to wear the shirt. Choice 2: He asked his mother for help. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The boy had trouble buttoning his shirt.,He refused to wear the shirt.,He asked his mother for help.,effect,-0.21385271847248077,0.15104874968528748,2,0.36490146815776825,0.21385271847248077
"Consider the following example: ‘‘‘The boy painted a picture for his mother.’’’ Choice 1: His mother hung the picture on the wall. Choice 2: His mother sold the picture to a gallery. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The boy painted a picture for his mother.,His mother hung the picture on the wall.,His mother sold the picture to a gallery.,effect,-0.397280216217041,0.22758762538433075,1,0.6248678416013718,0.397280216217041
"Consider the following example: ‘‘‘The boy tuned the radio.’’’ Choice 1: The station was playing rock music. Choice 2: The station was coming in with static. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy tuned the radio.,The station was playing rock music.,The station was coming in with static.,cause,0.1064247339963913,-0.26618051528930664,2,0.37260524928569794,0.26618051528930664
"Consider the following example: ‘‘‘The boy was afraid to go to bed.’’’ Choice 1: He turned on his nightlight. Choice 2: He watched a horror movie. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy was afraid to go to bed.,He turned on his nightlight.,He watched a horror movie.,cause,-0.08492298424243927,0.05798153206706047,2,0.14290451630949974,0.08492298424243927
"Consider the following example: ‘‘‘The boy's hands were shaking.’’’ Choice 1: He planned to ask the girl out. Choice 2: His palms were cold and sweaty. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy's hands were shaking.,He planned to ask the girl out.,His palms were cold and sweaty.,cause,0.5017905235290527,-0.6804954409599304,1,1.1822859644889832,0.6804954409599304
"Consider the following example: ‘‘‘The boy's mouth stung.’’’ Choice 1: He ate a pepper. Choice 2: He blew out the candle. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy's mouth stung.,He ate a pepper.,He blew out the candle.,cause,-0.1394541710615158,0.26731622219085693,1,0.40677039325237274,0.26731622219085693
"Consider the following example: ‘‘‘The bride got cold feet before the wedding.’’’ Choice 1: The wedding guests brought gifts. Choice 2: She called the wedding off. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The bride got cold feet before the wedding.,The wedding guests brought gifts.,She called the wedding off.,effect,0.7684754133224487,-0.9322668313980103,2,1.700742244720459,0.9322668313980103
"Consider the following example: ‘‘‘The bureau drawers were cluttered.’’’ Choice 1: I threw away unnecessary contents. Choice 2: I locked the drawers shut. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The bureau drawers were cluttered.,I threw away unnecessary contents.,I locked the drawers shut.,effect,0.10023929923772812,-0.18706393241882324,1,0.28730323165655136,0.18706393241882324
"Consider the following example: ‘‘‘The button on my shirt fell off.’’’ Choice 1: I sewed the button back on. Choice 2: I glued the button back on. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The button on my shirt fell off.,I sewed the button back on.,I glued the button back on.,effect,-0.04624683037400246,0.1509077399969101,1,0.19715457037091255,0.1509077399969101
"Consider the following example: ‘‘‘The car stopped at the crosswalk.’’’ Choice 1: The pedestrian crossed the road. Choice 2: The pedestrian waited on the sidewalk. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The car stopped at the crosswalk.,The pedestrian crossed the road.,The pedestrian waited on the sidewalk.,effect,-0.18700231611728668,0.34287595748901367,1,0.5298782736063004,0.34287595748901367
"Consider the following example: ‘‘‘The celebrity wore sunglasses.’’’ Choice 1: She wanted to thank her fans. Choice 2: She wanted to avoid recognition. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The celebrity wore sunglasses.,She wanted to thank her fans.,She wanted to avoid recognition.,cause,0.5707557201385498,-0.8978101015090942,2,1.468565821647644,0.8978101015090942
"Consider the following example: ‘‘‘The chair squeaked.’’’ Choice 1: The man carried the chair to his office. Choice 2: The man scooted the chair closer to his desk. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The chair squeaked.,The man carried the chair to his office.,The man scooted the chair closer to his desk.,cause,-0.0574989952147007,0.14005813002586365,2,0.19755712524056435,0.14005813002586365
"Consider the following example: ‘‘‘The chandelier shattered on the floor.’’’ Choice 1: The chandelier dropped from the ceiling. Choice 2: The chandelier's lights flickered on and off. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The chandelier shattered on the floor.,The chandelier dropped from the ceiling.,The chandelier's lights flickered on and off.,cause,-0.10472812503576279,0.5531653165817261,1,0.6578934416174889,0.5531653165817261
"Consider the following example: ‘‘‘The chef pressed down on the dough.’’’ Choice 1: The dough crumbled. Choice 2: The dough flattened. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The chef pressed down on the dough.,The dough crumbled.,The dough flattened.,effect,-0.12310562282800674,-0.32366666197776794,2,0.2005610391497612,0.32366666197776794
"Consider the following example: ‘‘‘The child disobeyed her parents.’’’ Choice 1: Her parents hugged her. Choice 2: Her parents punished her. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The child disobeyed her parents.,Her parents hugged her.,Her parents punished her.,effect,0.6438391208648682,-0.8749638199806213,2,1.5188029408454895,0.8749638199806213
"Consider the following example: ‘‘‘The child kicked the stack of blocks.’’’ Choice 1: The stack towered over the boy's head. Choice 2: The blocks scattered all over the rug. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The child kicked the stack of blocks.,The stack towered over the boy's head.,The blocks scattered all over the rug.,effect,-0.013880021870136261,-0.08223120868206024,2,0.06835118681192398,0.08223120868206024
"Consider the following example: ‘‘‘The children knocked over a lamp.’’’ Choice 1: They had a pillow fight. Choice 2: They jumped on the bed. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The children knocked over a lamp.,They had a pillow fight.,They jumped on the bed.,cause,0.042115408927202225,0.08415257185697556,1,0.04203716292977333,0.08415257185697556
"Consider the following example: ‘‘‘The children ran through the sprinkler.’’’ Choice 1: They ate popsicles. Choice 2: They were hot. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The children ran through the sprinkler.,They ate popsicles.,They were hot.,cause,0.2763063311576843,-0.4206656813621521,2,0.6969720125198364,0.4206656813621521
"Consider the following example: ‘‘‘The city re-elected the mayor.’’’ Choice 1: The city cut its budget. Choice 2: The mayor fulfilled his promises. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The city re-elected the mayor.,The city cut its budget.,The mayor fulfilled his promises.,cause,0.10135088860988617,-0.13850611448287964,2,0.2398570030927658,0.13850611448287964
"Consider the following example: ‘‘‘The clock chimed.’’’ Choice 1: It was the top of the hour. Choice 2: The hour seemed to drag on. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The clock chimed.,It was the top of the hour.,The hour seemed to drag on.,cause,0.04358813166618347,0.04230465739965439,1,0.0012834742665290833,0.04358813166618347
"Consider the following example: ‘‘‘The competition ended.’’’ Choice 1: The teams got pumped up. Choice 2: The teams shook hands. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The competition ended.,The teams got pumped up.,The teams shook hands.,effect,0.1846054196357727,-0.07979223132133484,2,0.26439765095710754,0.1846054196357727
"Consider the following example: ‘‘‘The computer crashed.’’’ Choice 1: I backed up my files. Choice 2: I downloaded a virus. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The computer crashed.,I backed up my files.,I downloaded a virus.,cause,0.5941793322563171,-0.5760023593902588,2,1.170181691646576,0.5941793322563171
"Consider the following example: ‘‘‘The computer was expensive to fix.’’’ Choice 1: I got it repaired. Choice 2: I bought a new one. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The computer was expensive to fix.,I got it repaired.,I bought a new one.,effect,-0.1060606837272644,0.03164748102426529,2,0.1377081647515297,0.1060606837272644
"Consider the following example: ‘‘‘The couple got engaged.’’’ Choice 1: They planned a wedding. Choice 2: They took some time apart. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The couple got engaged.,They planned a wedding.,They took some time apart.,effect,-0.061935290694236755,0.2604534924030304,1,0.32238878309726715,0.2604534924030304
"Consider the following example: ‘‘‘The cowgirl threw her lasso towards the horse.’’’ Choice 1: The lasso grabbed onto the horse. Choice 2: The horse trotted into the barn. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The cowgirl threw her lasso towards the horse.,The lasso grabbed onto the horse.,The horse trotted into the barn.,effect,-0.5308014750480652,0.5459360480308533,1,1.0767375230789185,0.5459360480308533
"Consider the following example: ‘‘‘The crowd gave the band a standing ovation.’’’ Choice 1: The band signed autographs. Choice 2: The band reappeared on the stage. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The crowd gave the band a standing ovation.,The band signed autographs.,The band reappeared on the stage.,effect,0.04677733778953552,-0.04873931407928467,2,0.09551665186882019,0.04873931407928467
